,ORIGIN_CITY,DEST_CITY,QUARTER,Carrier,Average_Delay_Time,Accidents,Average_Price,Food_Drink,Entertainment,Seat_comfort,Stuff_Service,Value_for_Money
227,Charlotte,Columbus,4,American Airlines,1.4,108,243.1161894,2,2,2,2,2
228,Charlotte,Dallas/Fort Worth,1,American Airlines,8.35948241,108,309.3117222,2,2,2,2,2
229,Charlotte,Dallas/Fort Worth,2,American Airlines,12.37893553,108,317.6373031,2,2,2,2,2
230,Charlotte,Dallas/Fort Worth,3,American Airlines,14.36128398,108,340.3810394,2,2,2,2,2
231,Charlotte,Dallas/Fort Worth,4,American Airlines,9.07267922,108,277.7339708,2,2,2,2,2
232,Charlotte,Daytona Beach,1,American Airlines,1.625,108,284.2079697,2,2,2,2,2
233,Charlotte,Denver,1,American Airlines,6.808460635,108,326.9663908,2,2,2,2,2
234,Charlotte,Denver,2,American Airlines,12.45567523,108,286.4449875,2,2,2,2,2
235,Charlotte,Denver,3,American Airlines,14.06722151,108,380.4428021,2,2,2,2,2
236,Charlotte,Denver,4,American Airlines,7.831460674,108,299.0134181,2,2,2,2,2
237,Charlotte,Detroit,1,American Airlines,4.562217195,108,291.0429767,2,2,2,2,2
238,Charlotte,Detroit,2,American Airlines,10.09716157,108,249.3211705,2,2,2,2,2
239,Charlotte,Detroit,3,American Airlines,11.08489635,108,273.0601072,2,2,2,2,2
240,Charlotte,Detroit,4,American Airlines,5.102299762,108,229.9610633,2,2,2,2,2
241,Charlotte,Fort Lauderdale,1,American Airlines,7.392141757,108,300.5112309,2,2,2,2,2
242,Charlotte,Fort Lauderdale,2,American Airlines,8.994757536,108,279.876086,2,2,2,2,2
243,Charlotte,Fort Lauderdale,3,American Airlines,10.13249727,108,338.4889617,2,2,2,2,2
244,Charlotte,Fort Lauderdale,4,American Airlines,7.980871413,108,286.0886889,2,2,2,2,2
245,Charlotte,Fort Myers,1,American Airlines,6.264984227,108,258.4827928,2,2,2,2,2
246,Charlotte,Fort Myers,2,American Airlines,8.644906034,108,260.2093735,2,2,2,2,2
247,Charlotte,Fort Myers,3,American Airlines,11.48942308,108,258.5567442,2,2,2,2,2
248,Charlotte,Fort Myers,4,American Airlines,6.045655376,108,255.6917264,2,2,2,2,2
249,Charlotte,Greensboro/High Point,1,American Airlines,7.278688525,108,254.3417708,2,2,2,2,2
250,Charlotte,Greensboro/High Point,2,American Airlines,0,108,348.2273134,2,2,2,2,2
251,Charlotte,Greensboro/High Point,3,American Airlines,8.169117647,108,266.7729032,2,2,2,2,2
252,Charlotte,Greensboro/High Point,4,American Airlines,6.133027523,108,274.2933333,2,2,2,2,2
253,Charlotte,Harrisburg,1,American Airlines,10.97979798,108,261.16739,2,2,2,2,2
254,Charlotte,Harrisburg,2,American Airlines,12.99574468,108,255.6738448,2,2,2,2,2
255,Charlotte,Harrisburg,3,American Airlines,13.54187192,108,272.3831332,2,2,2,2,2
256,Charlotte,Harrisburg,4,American Airlines,4.797385621,108,244.5442313,2,2,2,2,2
257,Charlotte,Hartford,1,American Airlines,6.338478501,108,259.7405913,2,2,2,2,2
258,Charlotte,Hartford,2,American Airlines,9.948606272,108,277.4489457,2,2,2,2,2
259,Charlotte,Hartford,3,American Airlines,10.84479238,108,252.7946565,2,2,2,2,2
260,Charlotte,Hartford,4,American Airlines,6.269256987,108,237.6592711,2,2,2,2,2
261,Charlotte,Houston,1,American Airlines,8.654058314,108,264.8597614,2,2,2,2,2
262,Charlotte,Houston,2,American Airlines,14.31782946,108,257.7475945,2,2,2,2,2
263,Charlotte,Houston,3,American Airlines,11.88229112,108,296.5793622,2,2,2,2,2
264,Charlotte,Houston,4,American Airlines,7.323561947,108,249.9772873,2,2,2,2,2
265,Charlotte,Indianapolis,1,American Airlines,5.531413613,108,259.1488443,2,2,2,2,2
266,Charlotte,Indianapolis,2,American Airlines,5.954653938,108,245.4133777,2,2,2,2,2
267,Charlotte,Indianapolis,3,American Airlines,6.679856115,108,265.1013136,2,2,2,2,2
268,Charlotte,Indianapolis,4,American Airlines,4.721340388,108,231.1061411,2,2,2,2,2
269,Charlotte,Jacksonville,1,American Airlines,7.002676182,108,277.8400373,2,2,2,2,2
270,Charlotte,Jacksonville,2,American Airlines,9.951091703,108,268.5796035,2,2,2,2,2
271,Charlotte,Jacksonville,3,American Airlines,11.46652572,108,322.2170308,2,2,2,2,2
272,Charlotte,Jacksonville,4,American Airlines,5.472053872,108,265.8525297,2,2,2,2,2
273,Charlotte,Kansas City,1,American Airlines,5.904468413,108,272.2766445,2,2,2,2,2
274,Charlotte,Kansas City,2,American Airlines,8.712530713,108,272.6417195,2,2,2,2,2
